id,symbol,type,entryPrice,initialSize,currentSize,stopLoss,openTime,closeTime,closePrice,pnl,status,strategy
quant-1770323404662,XAUUSD,SELL,4825.705,0.01,0.002,4817.846275,1770323404662,1770325320436,4817.47,13.510798134517769,CLOSED,AI_AGENT
quant-1770320750831,XAUUSD,SELL,4838.795,0.02,0.02,4842.5,1770320750831,1770320896749,4843.155000000001,-7.138190797122633,CLOSED,AI_AGENT
quant-1770319607731,XAUUSD,BUY,4856.4,0.01,0.01,4847,1770319607731,1770319808221,4844.46,-9.685837784364526,CLOSED,AI_AGENT
quant-1770302733560,XAUUSD,SELL,4856.549999999999,0.01,0.01,4865.55,1770302733560,1770302780387,4865.45,-7.0213698670512485,CLOSED,AI_AGENT
risk-1770293775697,XAUUSD,BUY,4841.245,0.01,0.01,4831.245,1770293775697,1770293932596,4830.67,-8.442008674357321,CLOSED,AI_AGENT
risk-1770290041379,XAUUSD,BUY,4882.835,0.01,0.01,4872.835,1770290041379,1770291828618,4873.555,-7.371757162185743,CLOSED,AI_AGENT
quant-1770284135284,XAUUSD,SELL,4882.49,0.01,0.01,4890,1770284135284,1770284388079,4889.505,-5.6958434343065685,CLOSED,AI_AGENT
quant-1770279858865,XAUUSD,SELL,4938.745,0.01,0.002,4878.68835,1770279858865,1770283386097,4878.145,21.300702155297547,CLOSED,AI_AGENT
quant-1769723035844,XAUUSD,SELL,5393.585,0.01,0,5393.585,1769723035844,1769723091222,5381.43,8.800669010132712,CLOSED,AI_AGENT
quant-1769723486403,XAUUSD,BUY,5390.945,0.03,0.03,5387,1769723486403,1769723486752,5388.264999999999,-8.698611045752108,CLOSED,AI_AGENT
quant-1769733591393,XAUUSD,SELL,5425.0599999999995,0.01,0,5425.0599999999995,1769733591393,1769733677646,5409.7,11.143233351348957,CLOSED,AI_AGENT
quant-1769736779323,XAUUSD,BUY,5352.360000000001,0.04,0,5352.360000000001,1769736779323,1769736780053,5358.51,17.855133895357696,CLOSED,AI_AGENT
risk-1769759333235,XAUUSD,BUY,5149.11,0.01,0,5149.11,1769759333235,1769759887059,5179.59,22.128648177726493,CLOSED,AI_AGENT
risk-1769762183989,XAUUSD,BUY,5066.030000000001,0.01,0,5066.030000000001,1769762183989,1769762846632,5106.57,29.44562473897264,CLOSED,AI_AGENT
risk-1769762776360,XAUUSD,BUY,5097.025,0.01,0.01,5087.025,1769762776360,1769764018363,5086.745000000001,-8.3022981197197,CLOSED,AI_AGENT
risk-1769764072899,XAUUSD,BUY,5080.275,0.01,0.01,5070.275,1769764072899,1769764109523,5071.105,-7.5778776854212335,CLOSED,AI_AGENT
risk-1769765103377,XAUUSD,BUY,5039.04,0.01,0.01,5029.04,1769765103377,1769765292263,5029.84,-7.478294396007511,CLOSED,AI_AGENT
risk-1769766371175,XAUUSD,BUY,4961.3,0.01,0,4961.3,1769766371175,1769766428870,4982.295,15.284041480575468,CLOSED,AI_AGENT
risk-1769766703354,XAUUSD,SELL,4957.415,0.01,0.01,4967.415,1769766703354,1769766720758,4966.59,-7.49858877943083,CLOSED,AI_AGENT
risk-1769768210657,XAUUSD,BUY,5047.105,0.01,0.01,5037,1769768210657,1769768278250,5037.705,-7.576529127626116,CLOSED,AI_AGENT
risk-1769769387416,XAUUSD,BUY,5064.094999999999,0.01,0,5098.864325,1769769387416,1769771585740,5124.49,35.37988284780987,CLOSED,AI_AGENT
risk-1769769446152,XAUUSD,BUY,5067.700000000001,0.01,0.002,5111.829625,1769769446152,1769773532513,5112.66,42.19086489787929,CLOSED,AI_AGENT
risk-1769770258429,XAUUSD,BUY,5085.145,0.01,0.006,5085.145,1769770258429,1769777189546,5087.17,12.101311440294767,CLOSED,AI_AGENT
risk-1769772155034,XAUUSD,BUY,5123.53,0.01,0.01,5113.53,1769772155034,1769772439909,5114.22,-7.368757630369905,CLOSED,AI_AGENT
quant-1769772871424,XAUUSD,SELL,5128.335,0.02,0.02,5132.5,1769772871424,1769773299635,5134.305,-10.159472491721214,CLOSED,AI_AGENT
quant-1769773183827,XAUUSD,BUY,5130.4349999999995,0.01,0.01,5124,1769773183827,1769773752644,5098.83,-23.785908656588212,CLOSED,AI_AGENT
quant-1769773998700,XAUUSD,SELL,5106.885,0.02,0.02,5110,1769773998700,1769774002674,5109.889999999999,-5.53956286096946,CLOSED,AI_AGENT
quant-1769777296532,XAUUSD,SELL,5074.2,0.01,0.01,5080,1769777296532,1769777414084,5080.035,-5.180067275488117,CLOSED,AI_AGENT
quant-1769778966050,XAUUSD,SELL,5068.535,0.01,0.01,5075,1769778966050,1769779166452,5074.58,-5.3326063249727635,CLOSED,AI_AGENT
quant-1769779688011,XAUUSD,SELL,5033.165,0.01,0.006,5033.165,1769779688011,1769779986361,5032.1,5.056395155383724,CLOSED,AI_AGENT
